Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Trong MS Word, khi đã bôi đen dòng chữ TRƯỜNG ĐẠI HỌC CÔNG NGHỆ và muốn dòng chữ này có định dạng kiểu Gạch chân. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + U
Trong MS Word 2016, khi muốn Thay đổi văn bản có khổ giấy theo hướng Ngang thì thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Oriention và chọn Landscape
Trong MS Word, trong khi soạn thảo văn bản, nếu nhấn phím số 1 khi có một khối văn bản Đang được chọn thì:;;;Câu trả lời đúng là: Khối văn bản đó biến mất và thay vào đó là số 1.
Trong MS Word, Khi đang gõ văn bản và dưới chân những ký tự đang gõ xuất hiện các dấu xanh đỏ;;;Câu trả lời đúng là: Dấu xanh là do bạn gõ sai quy tắc ngữ pháp, dấu đỏ là do bạn gõ sai từ tiếng Anh
Trong MS Word, khi đã bôi đen dòng chữ TRƯỜNG ĐẠI HỌC CÔNG NGHỆ và muốn dòng chữ này có định dạng kiểu chữ  Đậm. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + B
Trong MS Word, phím nào để xoá ký tự đứng Trước con trỏ?;;;Câu trả lời đúng là: Backspace.
Trong MS Word 2016, trong khi Định dạng văn bản muốn Tim kiếm và Thay thế chữ “VN” thành “Việt Nam” thì;;;Câu trả lời đúng là: ào menu Home, chọn Replace.
Trong MS Word, chương trình nào sau đây cho phép gõ được tiếng Việt?;;;Câu trả lời đúng là: Unikey hoặc Vietkey.
Trong MS Word, tổ hợp phím được dùng để Đóng tài liệu đang mở?;;;Câu trả lời đúng là: Ctrl + W
Văn bản hình chính sử dụng phong cách hành chính – công vụ. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh giữa (Centered). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + E
Trong MS Word, tổ hợp phím nào cho phép ngay lập tức đưa con trỏ về Đầu tài liệu?;;;Câu trả lời đúng là: Ctrl + Home
Trong MS Word 2016, hộp định dạng Paragraph nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để Thêm một chú thích (New Comment) trong văn bản, thực hiện;;;Câu trả lời đúng là: Vào menu Review, chọn New Comment
Trong MS Word, tổ hợp phím được dùng để Mở (Open) văn bản?;;;Câu trả lời đúng là: Ctrl + O
Trong MS Word, để chuyển đoạn văn bản được chọn từ chữ thường sang chữ in hoa, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F3 (2 lần)
Trong MS Word 2016, để Chèn tiêu đề phía trên (Header) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Header.
Trong MS Word 2016, muốn Thay đổi nội dung dạng cột (Columns) cho văn bản (dạng thường thấy tên các trang báo và tạp chí), thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Columns và chọn dạng cột tương ứng
Trong MS Word 2016, phát biểu nào sau đây là ĐÚNG?;;;Câu trả lời đúng là: Tệp được tạo ra bởi MS Word 2016 khi lưu sẽ có đuôi mặc định là DOCX.
Trong MS Word 2016, trong khi Định dạng văn bản muốn Tìm kiếm chữ “VN” thì;;;Câu trả lời đúng là: ào menu Home, chọn Find.
Trong MS Word, để định dạng khoảng cách giữa các dòng trong một đoạn văn bản giãn dòng đơn (Single), sử dụng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + 1
Trong MS Word, tổ hợp phím được dùng để chèn trường THỜI GIAN?;;;Câu trả lời đúng là: Alt + Shift + T
Trong MS Word, trong khi soạn thảo văn bản, nếu muốn thêm Ký hiệu bản quyền thì dùng tổ hợp phím:;;;Câu trả lời đúng là: Alt + Ctrl + C.
Trong MS Word, khi đã bôi đen dòng chữ TRƯỜNG ĐẠI HỌC CÔNG NGHỆ và muốn dòng chữ này có định dạng kiểu chữ Nghiêng. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + I
﻿Trong MS Word 2016, để cài Mật khẩu cho tệp hiện thời:;;;Câu trả lời đúng là: Vào menu File | Info | Protect Document | Encrypt with Password
Trong MS Word, để có thể đánh được Chỉ số dưới cho số 2 của từ H2O cần thực hiện bôi đen số 2, sau đó nhấn tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + =
Trong MS Word 2016, để định dạng Cỡ chữ (Size) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, muốn Thay đổi Page Setup thực hiện:;;;Câu trả lời đúng là: Vào menu Layout.
Trong MS Word, để Xóa định dạng (Paragraph) đoạn văn bản. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + Q
Trong MS Word 2016, để Chèn liên kết (Hyperlink) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Hyperlink.
Cấu trúc văn bản hành chính phải đảm bảo hoàn chỉnh về mặt nội dung và trọn vẹn về hình thức. Thông thường gồm ba phần: phần mở đầu, phần trung tâm và phần kết thúc. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word 2016, để Chèn số trang ở lề trên của tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Page Number, chọn Top of Page.
Chọn đáp án saiCác phương án nào dưới đây thuộc bước chuẩn bị của quy trình soạn thảo và ban hành văn bản:;;;Câu trả lời đúng là: Xác định số trang của văn bản
Trong MS Word, tổ hợp phím được dùng để Tạo mới (New) văn bản?;;;Câu trả lời đúng là: Ctrl + N
Trong MS Word, để chọn Toàn bộ nội dung văn bản thì nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + A
Trong MS Word, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh trái (Left). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + L
Trong MS Word, tổ hợp phím được dùng để Tăng cỡ phông lên 1 điểm?;;;Câu trả lời đúng là: Ctrl + ]
Trong MS Word, để chọn khối từ con trỏ về Cuối tài liệu nhấn:;;;Câu trả lời đúng là: Ctrl + Shift + End
Trong MS Word 2016, muốn Thay đổi hướng giấy (Oriention). Ví dụ: hướng Ngang hoặc hướng Dọc cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Oriention để chọn hướng giấy tương ứng
Trong MS Word 2016, để Chèn ngắt trang văn bản thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Page Break.
Trong MS Word, tổ hợp phím được dùng để Lưu (Save) văn bản?;;;Câu trả lời đúng là: Ctrl + S
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… là bản sao một phần nội dung của văn bản và được trình bày theo thể thức quy định. Bản trích sao phải được thực hiện từ văn bản chính.;;;Câu trả lời đúng là: Bản trích sao
Trong MS Word, khi thực hiện Ctrl + PageUp hoặc Ctrl + Page Down, con trỏ sẽ di chuyển:;;;Câu trả lời đúng là: Lên xuống 1 trang văn bản.
Trong MS Word, tổ hợp phím nào dùng để ra lệnh in văn bản?;;;Câu trả lời đúng là: Ctrl + P
Trong MS Word 2016, để Chèn bảng (Table) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Table.
Trong MS Word 2016, hộp định dạng Font nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Khi thao tác trong MS Word 2016, thông báo "Do you want to save changes to..." xuất hiện khi nào?;;;Câu trả lời đúng là: Khi đóng văn bản nhưng văn bản chưa được lưu
Trong MS Word 2016, để định dạng canh Giữa (Center) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để Mở một tệp đã tồn tại trên đĩa, thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Open
Nếu bật bộ gõ tiếng Việt (Vietkey hoặc Unikey) để soạn thảo, đồng thời lựa chọn kiểu gõ Telex và bảng mã Unicode. Các nhóm font nào dưới đây có thể hiển thị rõ tiếng Việt?;;;Câu trả lời đúng là: Tahoma, Verdana, Times new Roman.
Trong MS Word, để Định dạng lùi vào đầu dòng đoạn văn bản từ bên trái. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + M
Trong MS Word 2016, muốn Thay cỡ giấy (Size). Ví dụ: cỡ giấy A4, Letter,... cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Size
Trong MS Word 2016, để Chèn chữ lớn ở đầu dòng (Drop Cap) trong đoạn thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Drop Cap.
Trong MS Word, để chọn khối từ con trỏ về Đầu tài liệu nhấn:;;;Câu trả lời đúng là: Ctrl + Shift + Home
Trong MS Excel, hàm nào sau đây lấy giá trị Tuyệt đối của một số?;;;Câu trả lời đúng là: Abs
Trong MS Excel 2016, để Chèn liên kết (Hyperlink) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Hyperlink.
Trong MS Excel, nếu thí sinh đạt từ 5 điểm trở lên, thí sinh đó được xếp loại Đạt, ngược lại nếu dưới 5 điểm, thì xếp loại Không đạt. Theo bạn, công thức nào dưới đây thể hiện ĐÚNG điều này (Giả sử ô G6 đang chứa điểm thi)?;;;Câu trả lời đúng là: =IF(G6<5,"Không đạt","Đạt")
Trong MS Excel, biểu thức =AVERAGE(4,6,7,8) trả lại kết quả là bao nhiêu?;;;Câu trả lời đúng là: 6.25
Trong MS Excel, để lưu một tệp đang được lưu trước đó với một Tên khác, thực hiện nhấn phím:;;;Câu trả lời đúng là: F12
Trong MS Excel, hàm nào sau đây dùng để chuyển chữ in hoa thành chữ Thường;;;Câu trả lời đúng là: LOWER
﻿Trong MS Excel, vào menu File, chọn Print và chọn Page Setup, sau đó chọn thẻ Margins để làm gì?;;;Câu trả lời đúng là: Căn chỉnh lề cho giấy khi in
Trong MS Excel, nhấn tổ hợp phím nào sẽ thực hiện Dán (Paste) dữ liệu từ bộ nhớ đệm vào ô được chọn?;;;Câu trả lời đúng là: Ctrl + V
Trong MS Excel, để chèn một Cột giữa cột A và cột B thì phải chọn cột nào sau đây?;;;Câu trả lời đúng là: Cột B
Trong MS Excel, hàm nào sau đây lấy Giá trị dư của phép chia?;;;Câu trả lời đúng là: Mod
Trong MS Excel 2016, để In tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Print
Trong MS Excel 2016, để Mở một tệp đã tồn tại trên đĩa, đầu tiên ta phải;;;Câu trả lời đúng là: Vào menu File, chọn Open
Trong MS Excel, biểu thức =MONTH("6-May") cho kết quả là bao nhiêu?;;;Câu trả lời đúng là: 5
Trong MS Excel, hàm AVERAGE dùng để?;;;Câu trả lời đúng là: Tính giá trị trung bình của các giá trị được chọn
Trong MS Excel, dữ liệu kiểu Số ở chế độ mặc định nằm ở vị trí nào trong ô?;;;Câu trả lời đúng là: Bên phải
Trong MS Excel 2016, trong khi Định dạng bảng tính để xóa một sheet thực hiện:;;;Câu trả lời đúng là: Vào menu Home, chọn Delete, sau đó chọn Delete Sheet.
Trong MS Excel 2016, hộp định dạng vị trí (Alignment) nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, tổ hợp phím nào dưới đây thực hiện việc Tạo mới một bảng tính?;;;Câu trả lời đúng là: Ctrl + N
Trong MS Excel, để mở một bảng tính có sẵn, bạn khởi động chương trình ứng dụng MS Excel, vào thực đơn lệnh File, chọn lệnh:;;;Câu trả lời đúng là: Open
Trong MS Excel, cho biết kết quả của công thức: =INT(-8.2);;;Câu trả lời đúng là: -9
Trong MS Word 2016, muốn Thay cỡ giấy (Size). Ví dụ: cỡ giấy A4, Letter,... cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Size
Trong MS Excel 2016, để Chèn hộp văn bản (Textbox) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Text Box.
Trong MS Excel, tại ô A2 có sẵn giá trị số 25; Tại ô B2 gõ vào công thức =SQRT(A2) thì nhận được kết quả:;;;Câu trả lời đúng là: 5
Trong MS Excel, ở một bảng tính một cửa hàng văn phòng phẩm có bán các loại hàng hoá như: vở, bút bi, thước, phấn, …, có thể sử dụng hàm gì để giúp cửa hàng tính được tổng số tiền bán được của từng loại hàng hóa?;;;Câu trả lời đúng là: SUMIF
Trong MS Excel, kết quả công thức =MAX(2,MOD(8,5)) là:;;;Câu trả lời đúng là: 3
Trong MS Excel 2016, để Lưu tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Save
Trong MS Excel, tổ hợp phím nào dưới đây thực hiện việc Lưu một bảng tính?;;;Câu trả lời đúng là: Ctrl + S
Trong MS Excel, địa chỉ B3 là địa chỉ:;;;Câu trả lời đúng là: Tương đối
Trong MS Excel, để định dạng kiểu số % cho ô hiện tại, nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + Shift + %
Trong MS Excel 2016, để Hiển thị chế độ xem trước khi in (Page Break Preview) thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Page Break Preview
Trong MS Excel, cho biết địa chỉ nào sau đây không hợp lệ;;;Câu trả lời đúng là: 111$A
Trong MS Excel, tổ hợp phím nào sẽ dùng để bật hộp thoại Tìm kiếm?;;;Câu trả lời đúng là: Ctrl + F
Trong MS Excel, kết quả của một phép so sánh hoặc phép toán Logic bao giờ cũng cho kết quả là;;;Câu trả lời đúng là: Chỉ một trong hai giá trị: True hoặc False
Trong MS Excel, hàm MAX dùng để:;;;Câu trả lời đúng là: Tìm giá trị lớn nhất trong các giá trị được chọn.
Trong MS Excel 2016, trong khi Định dạng muốn xóa hàng, cột, ô... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Cells
Trong MS Excel, tổ hợp phím được dùng để Đóng bảng tính đang mở?;;;Câu trả lời đúng là: Ctrl + F4
Trong MS Excel, sau khi nhập công thức sau: ="123"-"23" có kết quả?;;;Câu trả lời đúng là: 100
Trong MS Excel 2016, để Thêm một chú thích (New Comment) trong bảng tính, thực hiện;;;Câu trả lời đúng là: Vào menu Review, chọn New Comment
Trong MS Excel, muốn định dạng kiểu chữ Nghiêng, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + I
Trong MS Excel, để tự động tính tổng của hai ô A1 và C1 thực hiện:;;;Câu trả lời đúng là: Nhập công thức: =A1+C1.
Trong MS Excel, các kiểu dữ liệu thông dụng là:;;;Câu trả lời đúng là: Kiểu chuỗi, kiểu số, kiểu lôgic, kiểu ngày tháng, kiểu công thức
Trong MS Excel, địa chỉ $B$3 là địa chỉ:;;;Câu trả lời đúng là: Tuyệt đối
Trong MS Excel, hàm ROUND dùng để;;;Câu trả lời đúng là: Làm tròn số
Trong MS Word 2016, khi muốn Thay đổi tài liệu có khổ giấy theo hướng Dọc thì thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Oriention và chọn Portraint
Trong MS Excel, tại ô A2 có sẵn dữ liệu là dãy kí tự "Tin hoc van phong" ; Tại ô B2 gõ vào công thức =LOWER(A2) thì nhận được kết quả là?;;;Câu trả lời đúng là: tin hoc van phong
Trong MS Excel, nhấn tổ hợp phím nào sẽ thực hiện Sao chép (Copy) dữ liệu của ô được chọn vào bộ nhớ đệm?;;;Câu trả lời đúng là: Ctrl + C
Trong MS Word 2016, muốn Thay đổi hướng giấy (Oriention). Ví dụ: hướng Ngang hoặc hướng Dọc cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Oriention để chọn hướng giấy tương ứng
Trong MS Excel, để sao chép định dạng một ô, sau khi chọn ô đã được định dạng trước, nhấn nút nào dưới đây trên thanh công cụ?;;;Câu trả lời đúng là: Nút Format Painter
Trong MS Excel 2016, để định dạng kiểu chữ Đậm (Bold) cho nội dung,  thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, vào DATA chọn FILTER...:;;;Câu trả lời đúng là: Để trích lọc thông tin.
Trong MS Excel, tại ô A2 có giá trị 10. Tại ô B2 gõ vào công thức =MOD(A2,5)*5 thì nhận được kết quả là:;;;Câu trả lời đúng là: 0
Trong MS Excel, để đổi tên một Sheet thực hiện:;;;Câu trả lời đúng là: Nhấn đôi chuột Trái tại Sheet đó rồi đổi tên Sheet.
Trong MS Excel, câu nào sau đây SAI khi nhập dữ liệu vào bảng tính Excel:;;;Câu trả lời đúng là: Dữ liệu kiểu số sẽ mặc nhiên căn thẳng lề trái.
Trong MS Excel 2016, để lưu một bảng tính đang mở dưới một tên khác, thực hiện vào menu File, chọn lệnh:;;;Câu trả lời đúng là: Save As
Trong MS Excel 2016, để Xóa một chú thích (Delete Comment) trong bảng tính. Chọn comment cần xóa và thực hiện:;;;Câu trả lời đúng là: Vào menu Review, chọn Delete
Trong MS Excel 2016, để Tạo mới văn bản thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn New
Trong MS Excel, để chèn thêm 1 Bảng tính (Worksheet). Nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Shift + F11
Trong MS Excel 2016, để định dạng Phông chữ (Font) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel 2016, hộp định dạng Font nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, tại ô A2 có giá trị là dãy ký tự “TINHOC”. Tại ô B2 gõ công thức =RIGHT(A2;3) thì nhận được kết quả:;;;Câu trả lời đúng là: HOC
Trong MS Excel, muốn Phục hồi (Undo) thao tác vừa thực hiện thì bấm tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Z
Trong MS Excel, để lựa chọn các vùng Liền kề nhau cần sử dụng chuột kết hợp với phím nào?;;;Câu trả lời đúng là: Shift
Trong MS Excel, để chỉnh sửa dữ liệu ở một ô hiện hành, nhấn phím chức năng nào?;;;Câu trả lời đúng là: F2
Trong MS Excel, tổ hợp phím được dùng để Đóng tài liệu đang mở?;;;Câu trả lời đúng là: Alt + F4
Trong MS Excel 2016, để định dạng Màu chữ (Font Color) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, tại ô A2 có sẵn dãy kí tự "1Angiang2". Nếu sử dụng nút điền để điền dữ liệu đến các cột B2, C2, D2, E2; thì kết quả nhận được tại ô E2 là:;;;Câu trả lời đúng là: 1Angiang6
Trong MS Excel, hàm tìm vị trí thứ hạng của một số trong dãy số (xếp thứ hạng);;;Câu trả lời đúng là: RANK
Trong MS Excel, cho biết kết quả của công thức: =RIGHT("Cao Đẳng YTHN",2);;;Câu trả lời đúng là: HN
Trong MS Excel, điều kiện trong hàm IF được phát biểu dưới dạng một phép so sánh. Khi cần so sánh khác nhau thì sử dụng kí hiệu nào sau đây?;;;Câu trả lời đúng là: < >
Trong MS Excel, để Tìm kiếm và Thay thế từ đó bằng từ khác trong văn bản dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + H
Trong MS Excel, các phát biểu sau, phát biểu nào ĐÚNG?;;;Câu trả lời đúng là: Bảng tính có thể có đến 256 cột. Các cột được đánh thứ tự bằng các chữ cái A,B,C .. Z,AA, AB,AC..
Trong MS Excel 2016, để có định dạng kiểu Phần trăm (Ví dụ: 20%) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, để hoàn thành việc nhập 1 ô và di chuyển xuống ô phía dưới thì nhấn phím nào?;;;Câu trả lời đúng là: Enter
Trong MS Excel, hàm dùng để chuyển chuỗi số sang số là hàm nào trong các hàm sau?;;;Câu trả lời đúng là: Value
Trong MS Excel, công thức = ROUND(3.56,1) sẽ cho ra giá trị:;;;Câu trả lời đúng là: 3.6
Trong MS Excel 2016, để định dạng canh Giữa (Center) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel 2016, để định dạng canh Phải (Right) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, tổ hợp phím nào dùng để ra lệnh in văn bản?;;;Câu trả lời đúng là: Ctrl + P
Trong MS Excel, tại ô A2 có giá trị là chuỗi TINHOC. Tại ô B2 gõ công thức =LEFT(A2,3) thì nhận được kết quả;;;Câu trả lời đúng là: TIN
Trong MS Excel 2016, để Chèn biểu đồ (Chart) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn biểu đồ tương ứng trong Charts.
Trong MS Excel, các hàm IF, AND và OR là thuộc loại hàm xử lý dữ liệu:;;;Câu trả lời đúng là: Logic.
Trong MS Excel, để đổi tên một sheet trong Excel thực hiện:;;;Câu trả lời đúng là: Phải chuột vào Sheet chọn Rename.
Trong MS Excel 2016, để định dạng canh trái, phải, giữa... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Alignment
Trong MS Excel, hàm nào sau đây dùng để chuyển chữ thường thành chữ IN HOA;;;Câu trả lời đúng là: UPPER
Trong MS Excel, để hủy bỏ vùng đang chọn thì nhấn phím nào?;;;Câu trả lời đúng là: Esc
Trong MS Excel 2016, hộp định dạng Page Setup thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout.
Trong MS Excel 2016, để định dạng cỡ chữ, dạng chữ, in béo, in nghiêng, kiểu chữ... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Font
Trong MS Excel, khi chiều dài dữ liệu kiểu số dài hơn chiều rộng của ô thì sẽ hiện thị trong ô các kí tự là?;;;Câu trả lời đúng là: #
Trong MS Excel, muốn định dạng kiểu chữ Gạch chân, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + U
Trong MS Excel, công thức nào cho kết quả OfficeXP?;;;Câu trả lời đúng là: ="Office"&"XP"
Trong MS Excel, giao của một hàng và một cột được gọi là?;;;Câu trả lời đúng là: Ô.
Trong MS Excel, công thức nào sau đây cho phép lấy ra chuỗi "Pho Hoa" từ chuỗi ký tự "Da Lat Thanh Pho Hoa";;;Câu trả lời đúng là: =Right("Da Lat Thanh Pho Hoa",7)
Trong MS Excel, sau khi sử dụng chức năng Undo (Ctrl + Z), để quay lại bước trước khi nhấn Undo dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Y
Trong MS Excel, tại ô A2 có sẵn dữ liệu là dãy kí tự "Tin hoc van phong"; Tại ô B2 gõ vào công thức =PROPER(A2) thì nhận được kết quả?;;;Câu trả lời đúng là: Tin Hoc Van Phong
Trong MS Excel 2016, để Chèn hình ảnh (Pictures) vào bảng tính thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Pictures.
Trong MS Excel, tổ hợp phím nào dưới đây thực hiện việc Chèn một liên kết?;;;Câu trả lời đúng là: Ctrl + K
Trong MS Excel, biểu thức sau cho kết quả là bao nhiêu? =DAY("15-Apr-1998");;;Câu trả lời đúng là: 15
Trong MS Excel 2016, để Hiển thị thước (Ruler) trong tài liệu, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Ruler
Trong MS Excel, địa chỉ ô như thế nào sau đây là đúng;;;Câu trả lời đúng là: A1
Trong MS Excel 2016, để Đóng tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Close
Trong MS Excel, sau khi gõ công thức ở ô (ví dụ: = E3) muốn làm tham chiếu tuyệt đối (= $E$3), có thể bấm;;;Câu trả lời đúng là: F4
Trong MS Excel, để chọn Toàn bộ bảng tính thì nhấn tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + A
Trong MS Excel, để thực hiện phép toán nối 2 Chuỗi với nhau thì sử dụng kí hiệu nào sau đây?;;;Câu trả lời đúng là: &
Trong MS Excel, giả sử tại ô B3 gõ như sau: today() kết quả là;;;Câu trả lời đúng là: today()
Trong MS Excel, sau khi thực hiện lệnh sắp xếp dữ liệu theo chiều tăng dần, thứ tự sắp xếp nào sau đây là ĐÚNG?;;;Câu trả lời đúng là: A010 - A011 - A100
Trong MS Excel 2016, để định dạng kiểu chữ Nghiêng (Italic) cho nội dung,  thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, hàm MIN dùng để:;;;Câu trả lời đúng là: Tìm giá trị nhỏ nhất trong các giá trị được chọn.
Trong MS Excel, tại ô A2 có giá trị là ngày 30/04/2016. Tại ô B2 gõ công thức =DAY(A2) thì nhận được kết quả:;;;Câu trả lời đúng là: 30
Trong MS Excel 2016, để định dạng kiểu chữ Gạch chân (Underline) cho nội dung, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Excel, để biểu diễn số liệu dạng Phần trăm, sử dụng biểu đồ kiểu nào dưới đây là hợp lý nhất?;;;Câu trả lời đúng là: Biểu đồ dạng quạt tròn (Pie)
Trong MS Excel, giả sử ô A1 của bảng tính lưu giá trị ngày 15/10/1970. Kết quả hàm =MONTH(A1) là bao nhiêu?;;;Câu trả lời đúng là: 10
Trong MS Excel, dữ liệu kiểu Ngày tháng ở chế độ mặc định nằm ở vị trí nào trong ô?;;;Câu trả lời đúng là: Bên phải
Trong MS Word 2016, khi muốn Thay đổi tài liệu có khổ giấy theo hướng Ngang thì thực hiện:;;;Câu trả lời đúng là: Vào menu Page Layout, chọn Oriention và chọn Landscape
Trong MS Excel, muốn định dạng kiểu chữ Đậm, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + B
Trong MS Excel, tại ô A1 chứa trị 3; ô A2 chứa trị 2. Hàm MOD(A1,A2) sẽ trả về trị?;;;Câu trả lời đúng là: 1
Trong MS Excel 2016, để Rút trích (Filter) cho Dữ liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Data, chọn Filter.
Trong MS Excel, muốn chèn Ngày hiện tại vào ô thì bấm tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + ;
Trong MS Excel, tại ô A2 có sẵn dữ liệu là dãy kí tự "Tin hoc van phong"; Tại ô B2 gõ vào công thức =UPPER(A2) thì nhận được kết quả?;;;Câu trả lời đúng là: TIN HOC VAN PHONG
Trong MS Excel, tổ hợp phím nào dưới đây thực hiện việc Mở một bảng tính?;;;Câu trả lời đúng là: Ctrl + O
Trong MS Excel, nếu trong một ô tính có các kí hiệu #####, điều đó có nghĩa là gì?;;;Câu trả lời đúng là: Cột chứa ô đó có độ rộng quá hẹp nên không hiển thị hết chữ số.
Trong MS Excel, biểu thức =MID("A123B",3,2) sẽ trả về kết quả là bao nhiêu?;;;Câu trả lời đúng là: 23
Trong MS Excel, tổ hợp phím nào để Xem bảng tính trước khi in?;;;Câu trả lời đúng là: Ctrl + F2
Trong MS Excel, có thể cho nội dung trong một ô hiển thị theo kiểu gì?;;;Câu trả lời đúng là: Cả 3 kiểu đều thực hiện được
Trong MS Excel, dữ liệu kiểu Chuỗi ở chế độ mặc định nằm ở vị trí nào trong ô?;;;Câu trả lời đúng là: Bên trái
Trong MS Excel 2016, để Hiển thị chế độ mặc định (Normal) thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Normal.
Trong MS Excel 2016, để Định dạng số như phần trăm (%), tiền tệ ($), ngăn cách hàng nghìn... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Number
Trong MS Excel, để thực hiện phép toán Lũy thừa thì sử dụng kí hiệu nào sau đây?;;;Câu trả lời đúng là: ^
Trong MS Excel, tại ô A1 có giá trị 6, biểu thức sau cho kết quả là gì? =If(A1>=5, Đỗ, Trượt);;;Câu trả lời đúng là: #Name?
Trong MS Excel 2016, để định dạng Cỡ chữ (Size) cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
